question,variant,virtual_time,resolved_fraction,mean_unresolved_coverage_est
q4,mainline,15618.862,0.1500,0.0000
q4,mainline,15693.791,0.1500,0.0000
q4,mainline,15768.719,0.1500,0.0000
q4,mainline,15843.647,0.1500,0.0000
q4,mainline,15918.575,0.1500,0.0000
q4,mainline,15993.503,0.1500,0.0000
q4,mainline,16068.432,0.1500,0.0000
q4,mainline,16143.360,0.1500,0.0000
q4,mainline,16218.288,0.1500,0.0000
q4,mainline,16293.216,0.1500,0.0000
q4,mainline,16368.144,0.1500,0.0000
q4,mainline,16448.144,0.1500,0.0000
q4,mainline,16523.073,0.1500,0.0000
q4,mainline,16598.001,0.1500,0.0000
q4,mainline,16672.929,0.1500,0.0000
q4,mainline,16747.857,0.1500,0.0000
q4,mainline,16822.785,0.1500,0.0000
q4,mainline,16897.714,0.1500,0.0000
q4,mainline,16972.642,0.1500,0.0000
q4,mainline,17047.570,0.1500,0.0000
q4,mainline,17122.498,0.1500,0.0000
q4,mainline,17197.426,0.1500,0.0000
q4,mainline,17272.355,0.1500,0.0000
q4,mainline,17341.283,0.1500,0.0000
q4,mainline,17410.211,0.1500,0.0000
q4,mainline,17479.139,0.1500,0.0000
q4,mainline,17548.067,0.1500,0.0000
q4,mainline,17616.996,0.1500,0.0000
q4,mainline,17685.924,0.1500,0.0000
q4,mainline,17754.852,0.1500,0.0000
q4,mainline,17823.780,0.1500,0.0000
q4,mainline,17894.708,0.2000,0.0000
q4,mainline,17900.708,0.2000,0.0000
q4,mainline,18386.920,0.2000,0.0000
q4,mainline,18481.922,0.2000,0.0000
q4,mainline,18555.923,0.2000,0.0000
q4,mainline,18640.423,0.2000,0.0000
q4,mainline,18711.273,0.2000,0.0000
q4,mainline,18779.197,0.2000,0.0000
q4,mainline,18844.296,0.2000,0.0000
q4,mainline,18913.224,0.2000,0.0000
q4,mainline,18982.153,0.2000,0.0000
q4,mainline,19053.081,0.2500,0.0000
q4,mainline,19199.815,0.2500,0.0000
q4,mainline,19318.836,0.2500,0.0000
q4,mainline,19324.836,0.2500,0.0000
q4,mainline,19437.856,0.3000,0.0000
q4,mainline,19670.140,0.3000,0.0000
q4,mainline,19789.139,0.3000,0.0000
q4,mainline,19866.139,0.3000,0.0000
q4,mainline,19934.139,0.3000,0.0000
q4,mainline,19994.745,0.3500,0.0000
q4,mainline,20094.182,0.3500,0.0000
q4,mainline,20201.056,0.3500,0.0000
q4,mainline,20283.993,0.3500,0.0000
q4,mainline,20358.649,0.3500,0.0000
q4,mainline,20421.578,0.3500,0.0000
q4,mainline,20484.506,0.3500,0.0000
q4,mainline,20547.434,0.3500,0.0000
q4,mainline,20610.362,0.3500,0.0000
q4,mainline,20673.290,0.3500,0.0000
q4,mainline,20736.219,0.3500,0.0000
q4,mainline,20799.147,0.3500,0.0000
q4,mainline,20867.147,0.3500,0.0000
q4,mainline,20935.147,0.3500,0.0000
q4,mainline,20998.075,0.3500,0.0000
q4,mainline,21061.003,0.3500,0.0000
q4,mainline,21123.932,0.3500,0.0000
q4,mainline,21186.860,0.3500,0.0000
q4,mainline,21249.788,0.3500,0.0000
q4,mainline,21312.716,0.3500,0.0000
q4,mainline,21375.644,0.3500,0.0000
q4,mainline,21438.573,0.3500,0.0000
q4,mainline,21503.501,0.4000,0.0000
q4,mainline,21667.324,0.4000,0.0000
q4,mainline,21744.951,0.4000,0.0000
q4,mainline,21811.660,0.4000,0.0000
q4,mainline,21870.342,0.4500,0.0000
q4,mainline,22505.374,0.4500,0.0000
q4,mainline,22570.034,0.4500,0.0000
q4,mainline,22629.694,0.5000,0.0000
q4,mainline,22879.260,0.5000,0.0000
q4,mainline,22974.994,0.5000,0.0000
q4,mainline,23109.536,0.5000,0.0000
