policy,question,case_id,case_hash,case_seed,source_count,scenario,complete,verifier_all_ok,world_match,cleared_count,sources_total,clear_rate,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,move_distance_m,n_measures,n_switches,n_clear_attempts,parameter_sha256,metrics_path,ledger_error_s,accepted
v2_final,q4,paper_q4_n10_s960000,921ea355b3d9146956f61f4ae430d6b93f1e70cdd84e26d3abe69cad19bef54c,960000,10,mixed,True,True,True,10,10,1.0,616.2958664818664,6162.958664818663,4295.958664818663,1525.0,289.0,53.0,21479.793324093313,305,289,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960000/metrics.json,0.0,True
v2_final,q4,paper_q4_n10_s960001,3c2d90f667bad6974cdf0e248fab341486a301486b771273f764547f2751f8cb,960001,10,mixed,True,True,True,10,10,1.0,611.3494901025755,6113.494901025755,4249.494901025756,1525.0,289.0,50.0,21247.474505128783,305,289,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960001/metrics.json,9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960002,4b89a8df99cafd241c47e55af9f95a54b1ee9ea5e16fe7130e2b7163c9f09d32,960002,10,mixed,True,True,True,10,10,1.0,563.7497472242784,5637.497472242784,3919.4974722427846,1400.0,262.0,56.0,19597.487361213924,280,262,12,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960002/metrics.json,9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960003,d5ee7b8cfe10c43ea185cc639804aae71d411b01ee1540fbc540be5e6fa22c0a,960003,10,mixed,True,True,True,10,10,1.0,556.5005085466586,5565.005085466586,3933.005085466586,1325.0,254.0,53.0,19665.025427332934,265,254,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960003/metrics.json,0.0,True
v2_final,q4,paper_q4_n10_s960004,1f988b31cf831af5aa25ce187ed6e54272d6b1871772eaa9bb115b1b6d726bd2,960004,10,mixed,True,True,True,10,10,1.0,575.8486781255233,5758.486781255233,4008.4867812552347,1425.0,266.0,59.0,20042.433906276176,285,266,13,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960004/metrics.json,1.8189894035458565e-12,True
v2_final,q4,paper_q4_n10_s960005,36aded449d8bbfeb55636622cc59a5b1dfcbc8fcf60b6079d88a2a6a4db548bd,960005,10,mixed,True,True,True,10,10,1.0,625.7732530203161,6257.732530203161,4432.732530203162,1495.0,280.0,50.0,22163.66265101581,299,280,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960005/metrics.json,9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960006,c7754a55042641796f5da3b168928bb8ff738fbb0d2e2e310b4d1fb86d611e47,960006,10,mixed,True,True,True,10,10,1.0,566.9233381553933,5669.233381553932,3880.2333815539323,1455.0,281.0,53.0,19401.166907769664,291,281,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960006/metrics.json,0.0,True
v2_final,q4,paper_q4_n10_s960007,c5089d6ba525d50783481797dc61d8eadaf230536dbac78f493ed66526ca66f3,960007,10,mixed,True,True,True,10,10,1.0,643.2647210137787,6432.647210137788,4644.647210137787,1455.0,274.0,59.0,23223.236050688927,291,274,13,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960007/metrics.json,-9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960008,a50200084bba6ca5d833b6999a3601288c4f3dd93878e69d939e923b69cc679b,960008,10,mixed,True,True,True,10,10,1.0,574.5684063838329,5745.684063838329,3952.684063838328,1460.0,283.0,50.0,19763.42031919164,292,283,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960008/metrics.json,-1.8189894035458565e-12,True
v2_final,q4,paper_q4_n10_s960009,8e49a81d41852454f8fdbe13137b9782a07dbf23b608ccb0e8f1778d9e0256a4,960009,10,mixed,True,True,True,10,10,1.0,606.3969728713143,6063.969728713143,4223.969728713144,1500.0,287.0,53.0,21119.84864356572,300,287,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960009/metrics.json,9.094947017729282e-13,True
